DATE,DISTRICT,STATE,CIRCUIT,CHAP_12
1987-06-30,OKLAHOMA NORTHERN,OKLAHOMA,TENTH CIRCUIT,4
1987-06-30,OKLAHOMA WESTERN,OKLAHOMA,TENTH CIRCUIT,12
1987-06-30,OREGON,OREGON,NINTH CIRCUIT,10
1987-06-30,PENNSYLVANIA EASTERN,PENNSYLVANIA,THIRD CIRCUIT,3
1987-06-30,PENNSYLVANIA MIDDLE,PENNSYLVANIA,THIRD CIRCUIT,5
1987-06-30,PENNSYLVANIA WESTERN,PENNSYLVANIA,THIRD CIRCUIT,1
1987-06-30,PUERTO RICO,PUERTO RICO,FIRST CIRCUIT,0
1987-06-30,RHODE ISLAND,RHODE ISLAND,FIRST CIRCUIT,0
1987-06-30,SOUTH CAROLINA,SOUTH CAROLINA,FOURTH CIRCUIT,17
1987-06-30,SOUTH DAKOTA,SOUTH DAKOTA,EIGHTH CIRCUIT,139
1987-06-30,TENNESSEE EASTERN,TENNESSEE,SIXTH CIRCUIT,8
1987-06-30,TENNESSEE MIDDLE,TENNESSEE,SIXTH CIRCUIT,8
1987-06-30,TENNESSEE WESTERN,TENNESSEE,SIXTH CIRCUIT,14
1987-06-30,TEXAS EASTERN,TEXAS,FIFTH CIRCUIT,3
1987-06-30,TEXAS NORTHERN,TEXAS,FIFTH CIRCUIT,27
1987-06-30,TEXAS SOUTHERN,TEXAS,FIFTH CIRCUIT,8
1987-06-30,TEXAS WESTERN,TEXAS,FIFTH CIRCUIT,10
1987-06-30,UTAH,UTAH,TENTH CIRCUIT,9
1987-06-30,VERMONT,VERMONT,SECOND CIRCUIT,0
1987-06-30,VIRGIN ISLANDS,VIRGIN ISLANDS,THIRD CIRCUIT,0
1987-06-30,VIRGINIA EASTERN,VIRGINIA,FOURTH CIRCUIT,3
1987-06-30,VIRGINIA WESTERN,VIRGINIA,FOURTH CIRCUIT,3
1987-06-30,WASHINGTON EASTERN,WASHINGTON,NINTH CIRCUIT,34
1987-06-30,WASHINGTON WESTERN,WASHINGTON,NINTH CIRCUIT,0
1987-06-30,WEST VIRGINIA NORTHERN,WEST VIRGINIA,FOURTH CIRCUIT,3
1987-06-30,WEST VIRGINIA SOUTHERN,WEST VIRGINIA,FOURTH CIRCUIT,0
1987-06-30,WISCONSIN EASTERN,WISCONSIN,SEVENTH CIRCUIT,7
1987-06-30,WISCONSIN WESTERN,WISCONSIN,SEVENTH CIRCUIT,36
1987-06-30,WYOMING,WYOMING,TENTH CIRCUIT,-1
1987-09-30,ALABAMA MIDDLE,ALABAMA,ELEVENTH CIRCUIT,1
1987-09-30,ALABAMA NORTHERN,ALABAMA,ELEVENTH CIRCUIT,3
1987-09-30,ALABAMA SOUTHERN,ALABAMA,ELEVENTH CIRCUIT,1
1987-09-30,ALASKA,ALASKA,NINTH CIRCUIT,-1
1987-09-30,ARIZONA,ARIZONA,NINTH CIRCUIT,5
1987-09-30,ARKANSAS,ARKANSAS,EIGHTH CIRCUIT,0
1987-09-30,ARKANSAS EASTERN,ARKANSAS,EIGHTH CIRCUIT,15
1987-09-30,ARKANSAS WESTERN,ARKANSAS,EIGHTH CIRCUIT,5
1987-09-30,CALIFORNIA CENTRAL,CALIFORNIA,NINTH CIRCUIT,0
1987-09-30,CALIFORNIA EASTERN,CALIFORNIA,NINTH CIRCUIT,23
1987-09-30,CALIFORNIA NORTHERN,CALIFORNIA,NINTH CIRCUIT,1
1987-09-30,CALIFORNIA SOUTHERN,CALIFORNIA,NINTH CIRCUIT,1
1987-09-30,COLORADO,COLORADO,TENTH CIRCUIT,34
1987-09-30,CONNECTICUT,CONNECTICUT,SECOND CIRCUIT,0
1987-09-30,DELAWARE,DELAWARE,THIRD CIRCUIT,0
1987-09-30,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC CIRCUIT,0
1987-09-30,FLORIDA MIDDLE,FLORIDA,ELEVENTH CIRCUIT,0
1987-09-30,FLORIDA NORTHERN,FLORIDA,ELEVENTH CIRCUIT,4
1987-09-30,FLORIDA SOUTHERN,FLORIDA,ELEVENTH CIRCUIT,0
1987-09-30,GEORGIA MIDDLE,GEORGIA,ELEVENTH CIRCUIT,14
1987-09-30,GEORGIA NORTHERN,GEORGIA,ELEVENTH CIRCUIT,1
1987-09-30,GEORGIA SOUTHERN,GEORGIA,ELEVENTH CIRCUIT,4
1987-09-30,GUAM,GUAM,NINTH CIRCUIT,0
1987-09-30,HAWAII,HAWAII,NINTH CIRCUIT,0
1987-09-30,IDAHO,IDAHO,NINTH CIRCUIT,25
1987-09-30,ILLINOIS CENTRAL,ILLINOIS,SEVENTH CIRCUIT,19
