DATE,DISTRICT,STATE,CIRCUIT,TOTAL_FILINGS,CHAP_7,CHAP_11,CHAP_12,CHAP_13,TOTAL_BUSINESS_FILINGS,BCHAP_7,BCHAP_11,BCHAP_12,BCHAP_13,TOTAL_NON_BUSINESS_FILINGS,NBCHAP_7,NBCHAP_11,NBCHAP_13
2013-02-28,WEST VIRGINIA NORTHERN,WEST VIRGINIA,FOURTH CIRCUIT,130,106,0,0,24,3,3,0,0,0,127,103,0,24
2013-02-28,WEST VIRGINIA SOUTHERN,WEST VIRGINIA,FOURTH CIRCUIT,170,148,1,0,21,5,4,1,0,0,165,144,0,21
2013-02-28,WISCONSIN EASTERN,WISCONSIN,SEVENTH CIRCUIT,1173,828,4,0,341,25,19,3,0,3,1148,809,1,338
2013-02-28,WISCONSIN WESTERN,WISCONSIN,SEVENTH CIRCUIT,467,393,3,2,69,24,18,2,2,2,443,375,1,67
2013-02-28,WYOMING,WYOMING,TENTH CIRCUIT,95,89,0,0,6,5,5,0,0,0,90,84,0,6
2013-03-31,ALABAMA MIDDLE,ALABAMA,ELEVENTH CIRCUIT,687,207,1,0,479,8,5,1,0,2,679,202,0,477
2013-03-31,ALABAMA NORTHERN,ALABAMA,ELEVENTH CIRCUIT,1405,782,6,1,616,29,21,6,1,1,1376,761,0,615
2013-03-31,ALABAMA SOUTHERN,ALABAMA,ELEVENTH CIRCUIT,439,146,3,0,290,7,2,3,0,2,432,144,0,288
2013-03-31,ALASKA,ALASKA,NINTH CIRCUIT,49,35,1,0,13,3,1,1,0,1,46,34,0,12
2013-03-31,ARIZONA,ARIZONA,NINTH CIRCUIT,2260,1962,25,1,272,56,33,19,1,3,2204,1929,6,269
