DATE,DISTRICT,STATE,CIRCUIT,TOTAL_FILINGS,CHAP_7,CHAP_11,CHAP_12,CHAP_13,TOTAL_BUSINESS_FILINGS,BCHAP_7,BCHAP_11,BCHAP_12,BCHAP_13,TOTAL_NON_BUSINESS_FILINGS,NBCHAP_7,NBCHAP_11,NBCHAP_13
2001-06-30,MARYLAND,MARYLAND,FOURTH CIRCUIT,9753,7008,40,0,2705,205,135,36,0,34,9548,6873,4,2671
2001-06-30,MASSACHUSETTS,MASSACHUSETTS,FIRST CIRCUIT,4983,4349,35,0,599,98,60,35,0,3,4885,4289,0,596
2001-06-30,MICHIGAN EASTERN,MICHIGAN,SIXTH CIRCUIT,8279,6130,53,0,2096,108,57,50,0,1,8171,6073,3,2095
2001-06-30,MICHIGAN WESTERN,MICHIGAN,SIXTH CIRCUIT,3613,2853,18,2,740,69,44,18,2,5,3544,2809,0,735
2001-06-30,MINNESOTA,MINNESOTA,EIGHTH CIRCUIT,4844,4046,7,4,787,518,433,7,4,74,4326,3613,0,713
2001-06-30,MISSISSIPPI NORTHERN,MISSISSIPPI,FIFTH CIRCUIT,1953,1340,8,2,603,30,19,8,2,1,1923,1321,0,602
2001-06-30,MISSISSIPPI SOUTHERN,MISSISSIPPI,FIFTH CIRCUIT,3583,2405,49,1,1128,72,24,47,1,0,3511,2381,2,1128
2001-06-30,MISSOURI EASTERN,MISSOURI,EIGHTH CIRCUIT,4319,2969,26,3,1321,69,35,23,3,8,4250,2934,3,1313
2001-06-30,MISSOURI WESTERN,MISSOURI,EIGHTH CIRCUIT,3775,3113,11,3,648,45,25,8,3,9,3730,3088,3,639
2001-06-30,MONTANA,MONTANA,NINTH CIRCUIT,1151,1022,2,1,126,38,31,2,1,4,1113,991,0,122
2001-06-30,NEBRASKA,NEBRASKA,EIGHTH CIRCUIT,1970,1675,12,12,271,44,14,12,12,6,1926,1661,0,265
2001-06-30,NEVADA,NEVADA,NINTH CIRCUIT,5199,3938,102,1,1158,157,48,97,1,11,5042,3890,5,1147
2001-06-30,NEW HAMPSHIRE,NEW HAMPSHIRE,FIRST CIRCUIT,1193,1106,7,0,80,103,92,7,0,4,1090,1014,0,76
2001-06-30,NEW JERSEY,NEW JERSEY,THIRD CIRCUIT,11744,7837,118,0,3789,209,100,104,0,5,11535,7737,14,3784
2001-06-30,NEW MEXICO,NEW MEXICO,TENTH CIRCUIT,2303,2032,15,2,254,174,136,15,2,21,2129,1896,0,233
2001-06-30,NEW YORK EASTERN,NEW YORK,SECOND CIRCUIT,7586,6073,54,0,1459,86,32,52,0,2,7500,6041,2,1457
2001-06-30,NEW YORK NORTHERN,NEW YORK,SECOND CIRCUIT,4623,3816,18,3,786,115,76,18,3,18,4508,3740,0,768
2001-06-30,NEW YORK SOUTHERN,NEW YORK,SECOND CIRCUIT,4323,3626,272,0,413,337,57,264,0,4,3986,3569,8,409
2001-06-30,NEW YORK WESTERN,NEW YORK,SECOND CIRCUIT,3660,2885,17,1,757,106,68,17,1,20,3554,2817,0,737
2001-06-30,NORTH CAROLINA EASTERN,NORTH CAROLINA,FOURTH CIRCUIT,3430,1790,9,5,1626,60,33,7,5,15,3370,1757,2,1611
2001-06-30,NORTH CAROLINA MIDDLE,NORTH CAROLINA,FOURTH CIRCUIT,2741,1121,21,0,1599,64,36,21,0,7,2677,1085,0,1592
2001-06-30,NORTH CAROLINA WESTERN,NORTH CAROLINA,FOURTH CIRCUIT,2227,1165,16,1,1045,43,26,16,1,0,2184,1139,0,1045
2001-06-30,NORTH DAKOTA,NORTH DAKOTA,EIGHTH CIRCUIT,622,602,3,5,12,37,26,3,5,3,585,576,0,9
2001-06-30,NORTHERN MARIANAS,NORTHERN MARIANA ISLANDS,NINTH CIRCUIT,5,5,0,0,0,0,0,0,0,0,5,5,0,0
2001-06-30,OHIO NORTHERN,OHIO,SIXTH CIRCUIT,10526,8870,22,0,1634,334,254,22,0,58,10192,8616,0,1576
2001-06-30,OHIO SOUTHERN,OHIO,SIXTH CIRCUIT,9347,7577,25,2,1743,139,89,24,2,24,9208,7488,1,1719
2001-06-30,OKLAHOMA EASTERN,OKLAHOMA,TENTH CIRCUIT,1138,1066,1,2,69,28,22,1,2,3,1110,1044,0,66
2001-06-30,OKLAHOMA NORTHERN,OKLAHOMA,TENTH CIRCUIT,1563,1442,8,2,111,143,124,8,2,9,1420,1318,0,102
2001-06-30,OKLAHOMA WESTERN,OKLAHOMA,TENTH CIRCUIT,3600,3076,9,8,507,104,77,8,8,11,3496,2999,1,496
2001-06-30,OREGON,OREGON,NINTH CIRCUIT,6582,5689,9,5,879,377,173,9,5,190,6205,5516,0,689
2001-06-30,PENNSYLVANIA EASTERN,PENNSYLVANIA,THIRD CIRCUIT,6386,3956,36,0,2394,77,45,30,0,2,6309,3911,6,2392
2001-06-30,PENNSYLVANIA MIDDLE,PENNSYLVANIA,THIRD CIRCUIT,3476,2779,30,0,667,203,131,30,0,42,3273,2648,0,625
2001-06-30,PENNSYLVANIA WESTERN,PENNSYLVANIA,THIRD CIRCUIT,4333,3709,47,0,577,118,70,42,0,6,4215,3639,5,571
2001-06-30,PUERTO RICO,PUERTO RICO,FIRST CIRCUIT,3755,1153,32,0,2570,69,39,26,0,4,3686,1114,6,2566
2001-06-30,RHODE ISLAND,RHODE ISLAND,FIRST CIRCUIT,1385,1275,3,0,107,11,9,2,0,0,1374,1266,1,107
2001-06-30,SOUTH CAROLINA,SOUTH CAROLINA,FOURTH CIRCUIT,3438,1669,23,0,1746,44,21,18,0,5,3394,1648,5,1741
2001-06-30,SOUTH DAKOTA,SOUTH DAKOTA,EIGHTH CIRCUIT,745,713,2,0,30,52,45,2,0,5,693,668,0,25
2001-06-30,TENNESSEE EASTERN,TENNESSEE,SIXTH CIRCUIT,4775,2925,20,1,1829,84,46,18,1,19,4691,2879,2,1810
2001-06-30,TENNESSEE MIDDLE,TENNESSEE,SIXTH CIRCUIT,3673,2352,32,0,1289,49,24,23,0,2,3624,2328,9,1287
2001-06-30,TENNESSEE WESTERN,TENNESSEE,SIXTH CIRCUIT,6547,1898,39,0,4610,71,31,32,0,8,6476,1867,7,4602
2001-06-30,TEXAS EASTERN,TEXAS,FIFTH CIRCUIT,2837,1649,23,1,1164,111,54,20,1,36,2726,1595,3,1128
2001-06-30,TEXAS NORTHERN,TEXAS,FIFTH CIRCUIT,6710,3723,70,9,2908,270,169,64,9,28,6440,3554,6,2880
2001-06-30,TEXAS SOUTHERN,TEXAS,FIFTH CIRCUIT,5175,3012,102,1,2059,256,121,100,1,33,4919,2891,2,2026
2001-06-30,TEXAS WESTERN,TEXAS,FIFTH CIRCUIT,4515,2698,24,1,1790,114,71,22,1,18,4401,2627,2,1772
2001-06-30,UTAH,UTAH,TENTH CIRCUIT,4979,3357,19,1,1602,123,74,18,1,30,4856,3283,1,1572
2001-06-30,VERMONT,VERMONT,SECOND CIRCUIT,505,465,0,0,40,22,16,0,0,6,483,449,0,34
2001-06-30,VIRGIN ISLANDS,VIRGIN ISLANDS,THIRD CIRCUIT,21,14,1,0,6,2,1,1,0,0,19,13,0,6
2001-06-30,VIRGINIA EASTERN,VIRGINIA,FOURTH CIRCUIT,7430,5407,36,0,1987,78,50,26,0,2,7352,5357,10,1985
2001-06-30,VIRGINIA WESTERN,VIRGINIA,FOURTH CIRCUIT,3485,3032,4,1,448,156,131,4,1,20,3329,2901,0,428
2001-06-30,WASHINGTON EASTERN,WASHINGTON,NINTH CIRCUIT,2718,2060,14,7,637,87,54,10,7,16,2631,2006,4,621
2001-06-30,WASHINGTON WESTERN,WASHINGTON,NINTH CIRCUIT,7343,6008,40,1,1294,78,36,34,1,7,7265,5972,6,1287
2001-06-30,WEST VIRGINIA NORTHERN,WEST VIRGINIA,FOURTH CIRCUIT,1196,1139,2,1,54,36,32,2,1,1,1160,1107,0,53
