STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CIRCUIT_NUM,DATE,month,TOTAL_FILINGS,CHAP_7,CHAP_11,CHAP_12,CHAP_13,TOTAL_BUSINESS_FILINGS,BCHAP_7,BCHAP_11,BCHAP_12,BCHAP_13,TOTAL_NON_BUSINESS_FILINGS,NBCHAP_7,NBCHAP_11,NBCHAP_13,TOTAL_OTHER,TOTAL_BCHAP_OTHER,CHAP_9,CHAP_15,OTHERS,QTR_ENDED,YEAR,FISCAL_YEAR,ST_ABRV
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,8TH,2013-01-31,1,60,55,0,0,5,2,2,0,0,0,58,53,0,5,NA,NA,NA,NA,NA,2013.1,2013,2013,ND
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,9TH,2013-01-31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2013.1,2013,2013,NA
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,6TH,2013-01-31,1,1675,1319,4,0,352,35,28,4,0,3,1640,1291,0,349,NA,NA,NA,NA,NA,2013.1,2013,2013,OH
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,6TH,2013-01-31,1,1555,983,5,0,567,28,20,4,0,4,1527,963,1,563,NA,NA,NA,NA,NA,2013.1,2013,2013,OH
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,10TH,2013-01-31,1,109,97,0,1,11,6,5,0,1,0,103,92,0,11,NA,NA,NA,NA,NA,2013.1,2013,2013,OK
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,10TH,2013-01-31,1,197,167,1,0,29,9,8,1,0,0,188,159,0,29,NA,NA,NA,NA,NA,2013.1,2013,2013,OK
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,10TH,2013-01-31,1,390,295,1,2,92,10,7,1,2,0,380,288,0,92,NA,NA,NA,NA,NA,2013.1,2013,2013,OK
OREGON,OREGON,OR,NINTH CIRCUIT,9TH,2013-01-31,1,867,667,2,0,198,24,15,2,0,7,843,652,0,191,NA,NA,NA,NA,NA,2013.1,2013,2013,OR
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,3RD,2013-01-31,1,905,569,9,1,326,40,23,9,1,7,865,546,0,319,NA,NA,NA,NA,NA,2013.1,2013,2013,PA
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,3RD,2013-01-31,1,523,350,2,0,171,15,11,2,0,2,508,339,0,169,NA,NA,NA,NA,NA,2013.1,2013,2013,PA
