STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CHAP_12,QTR_ENDED,DATE,FISCAL_YEAR
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,12,06/30/89,1989-06-30,1989
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,32,06/30/89,1989-06-30,1989
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,56,06/30/89,1989-06-30,1989
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,9,06/30/89,1989-06-30,1989
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,14,06/30/89,1989-06-30,1989
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,12,06/30/89,1989-06-30,1989
,TOTAL,,SEVENTH CIRCUIT,203,06/30/89,1989-06-30,1989
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,19,06/30/89,1989-06-30,1989
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,60,06/30/89,1989-06-30,1989
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,19,06/30/89,1989-06-30,1989
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,28,06/30/89,1989-06-30,1989
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,32,06/30/89,1989-06-30,1989
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,9,06/30/89,1989-06-30,1989
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,36,06/30/89,1989-06-30,1989
,TOTAL,,EIGHTH CIRCUIT,432,06/30/89,1989-06-30,1989
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,28,06/30/89,1989-06-30,1989
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,7,06/30/89,1989-06-30,1989
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,21,06/30/89,1989-06-30,1989
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,17,06/30/89,1989-06-30,1989
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,58,06/30/89,1989-06-30,1989
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,25,06/30/89,1989-06-30,1989
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,42,06/30/89,1989-06-30,1989
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,90,06/30/89,1989-06-30,1989
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,66,06/30/89,1989-06-30,1989
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,78,06/30/89,1989-06-30,1989
,TOTAL,,NINTH CIRCUIT,315,06/30/89,1989-06-30,1989
ALASKA,ALASKA,AK,NINTH CIRCUIT,2,06/30/89,1989-06-30,1989
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,8,06/30/89,1989-06-30,1989
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,3,06/30/89,1989-06-30,1989
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,81,06/30/89,1989-06-30,1989
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,3,06/30/89,1989-06-30,1989
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,2,06/30/89,1989-06-30,1989
HAWAII,HAWAII,HI,NINTH CIRCUIT,0,06/30/89,1989-06-30,1989
IDAHO,IDAHO,ID,NINTH CIRCUIT,41,06/30/89,1989-06-30,1989
MONTANA,MONTANA,MT,NINTH CIRCUIT,68,06/30/89,1989-06-30,1989
NEVADA,NEVADA,NV,NINTH CIRCUIT,4,06/30/89,1989-06-30,1989
OREGON,OREGON,OR,NINTH CIRCUIT,38,06/30/89,1989-06-30,1989
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,58,06/30/89,1989-06-30,1989
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,7,06/30/89,1989-06-30,1989
GUAM,GUAM,GUAM,NINTH CIRCUIT,0,06/30/89,1989-06-30,1989
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,0,06/30/89,1989-06-30,1989
,TOTAL,,TENTH CIRCUIT,209,06/30/89,1989-06-30,1989
COLORADO,COLORADO,CO,TENTH CIRCUIT,52,06/30/89,1989-06-30,1989
KANSAS,KANSAS,KS,TENTH CIRCUIT,42,06/30/89,1989-06-30,1989
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,13,06/30/89,1989-06-30,1989
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,6,06/30/89,1989-06-30,1989
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,15,06/30/89,1989-06-30,1989
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,62,06/30/89,1989-06-30,1989
UTAH,UTAH,UT,TENTH CIRCUIT,7,06/30/89,1989-06-30,1989
WYOMING,WYOMING,WY,TENTH CIRCUIT,12,06/30/89,1989-06-30,1989
,TOTAL,,ELEVENTH CIRCUIT,94,06/30/89,1989-06-30,1989
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,7,06/30/89,1989-06-30,1989
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,9,06/30/89,1989-06-30,1989
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,4,06/30/89,1989-06-30,1989
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,7,06/30/89,1989-06-30,1989
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,11,06/30/89,1989-06-30,1989
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,0,06/30/89,1989-06-30,1989
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,1,06/30/89,1989-06-30,1989
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,45,06/30/89,1989-06-30,1989
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,10,06/30/89,1989-06-30,1989
,TOTAL,,TOTAL,3099,06/30/88,1988-06-30,1988
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,0,06/30/88,1988-06-30,1988
,TOTAL,,FIRST CIRCUIT,16,06/30/88,1988-06-30,1988
MAINE,MAINE,ME,FIRST CIRCUIT,4,06/30/88,1988-06-30,1988
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,0,06/30/88,1988-06-30,1988
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,0,06/30/88,1988-06-30,1988
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,0,06/30/88,1988-06-30,1988
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,12,06/30/88,1988-06-30,1988
,TOTAL,,SECOND CIRCUIT,33,06/30/88,1988-06-30,1988
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,0,06/30/88,1988-06-30,1988
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,24,06/30/88,1988-06-30,1988
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,0,06/30/88,1988-06-30,1988
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,0,06/30/88,1988-06-30,1988
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,6,06/30/88,1988-06-30,1988
VERMONT,VERMONT,VT,SECOND CIRCUIT,3,06/30/88,1988-06-30,1988
,TOTAL,,THIRD CIRCUIT,9,06/30/88,1988-06-30,1988
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,0,06/30/88,1988-06-30,1988
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,2,06/30/88,1988-06-30,1988
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,1,06/30/88,1988-06-30,1988
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,2,06/30/88,1988-06-30,1988
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,4,06/30/88,1988-06-30,1988
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,0,06/30/88,1988-06-30,1988
,TOTAL,,FOURTH CIRCUIT,96,06/30/88,1988-06-30,1988
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,9,06/30/88,1988-06-30,1988
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,42,06/30/88,1988-06-30,1988
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,6,06/30/88,1988-06-30,1988
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,2,06/30/88,1988-06-30,1988
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,14,06/30/88,1988-06-30,1988
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,12,06/30/88,1988-06-30,1988
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,6,06/30/88,1988-06-30,1988
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,3,06/30/88,1988-06-30,1988
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,2,06/30/88,1988-06-30,1988
,TOTAL,,FIFTH CIRCUIT,351,06/30/88,1988-06-30,1988
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,3,06/30/88,1988-06-30,1988
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,13,06/30/88,1988-06-30,1988
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,141,06/30/88,1988-06-30,1988
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,52,06/30/88,1988-06-30,1988
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,2,06/30/88,1988-06-30,1988
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,87,06/30/88,1988-06-30,1988
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,10,06/30/88,1988-06-30,1988
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,25,06/30/88,1988-06-30,1988
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,18,06/30/88,1988-06-30,1988
,TOTAL,,SIXTH CIRCUIT,331,06/30/88,1988-06-30,1988
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,16,06/30/88,1988-06-30,1988
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,55,06/30/88,1988-06-30,1988
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,62,06/30/88,1988-06-30,1988
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,36,06/30/88,1988-06-30,1988
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,38,06/30/88,1988-06-30,1988
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,82,06/30/88,1988-06-30,1988
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,6,06/30/88,1988-06-30,1988
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,15,06/30/88,1988-06-30,1988
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,21,06/30/88,1988-06-30,1988
,TOTAL,,SEVENTH CIRCUIT,397,06/30/88,1988-06-30,1988
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,19,06/30/88,1988-06-30,1988
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,82,06/30/88,1988-06-30,1988
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,53,06/30/88,1988-06-30,1988
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,44,06/30/88,1988-06-30,1988
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,96,06/30/88,1988-06-30,1988
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,18,06/30/88,1988-06-30,1988
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,85,06/30/88,1988-06-30,1988
,TOTAL,,EIGHTH CIRCUIT,924,06/30/88,1988-06-30,1988
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,50,06/30/88,1988-06-30,1988
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,13,06/30/88,1988-06-30,1988
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,66,06/30/88,1988-06-30,1988
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,36,06/30/88,1988-06-30,1988
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,61,06/30/88,1988-06-30,1988
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,40,06/30/88,1988-06-30,1988
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,98,06/30/88,1988-06-30,1988
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,269,06/30/88,1988-06-30,1988
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,86,06/30/88,1988-06-30,1988
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,205,06/30/88,1988-06-30,1988
,TOTAL,,NINTH CIRCUIT,413,06/30/88,1988-06-30,1988
ALASKA,ALASKA,AK,NINTH CIRCUIT,0,06/30/88,1988-06-30,1988
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,11,06/30/88,1988-06-30,1988
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,6,06/30/88,1988-06-30,1988
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,81,06/30/88,1988-06-30,1988
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,4,06/30/88,1988-06-30,1988
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,2,06/30/88,1988-06-30,1988
HAWAII,HAWAII,HI,NINTH CIRCUIT,0,06/30/88,1988-06-30,1988
IDAHO,IDAHO,ID,NINTH CIRCUIT,82,06/30/88,1988-06-30,1988
MONTANA,MONTANA,MT,NINTH CIRCUIT,71,06/30/88,1988-06-30,1988
NEVADA,NEVADA,NV,NINTH CIRCUIT,4,06/30/88,1988-06-30,1988
OREGON,OREGON,OR,NINTH CIRCUIT,59,06/30/88,1988-06-30,1988
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,88,06/30/88,1988-06-30,1988
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,4,06/30/88,1988-06-30,1988
GUAM,GUAM,GUAM,NINTH CIRCUIT,1,06/30/88,1988-06-30,1988
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,0,06/30/88,1988-06-30,1988
,TOTAL,,TENTH CIRCUIT,394,06/30/88,1988-06-30,1988
COLORADO,COLORADO,CO,TENTH CIRCUIT,70,06/30/88,1988-06-30,1988
KANSAS,KANSAS,KS,TENTH CIRCUIT,125,06/30/88,1988-06-30,1988
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,24,06/30/88,1988-06-30,1988
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,12,06/30/88,1988-06-30,1988
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,33,06/30/88,1988-06-30,1988
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,86,06/30/88,1988-06-30,1988
UTAH,UTAH,UT,TENTH CIRCUIT,16,06/30/88,1988-06-30,1988
WYOMING,WYOMING,WY,TENTH CIRCUIT,28,06/30/88,1988-06-30,1988
,TOTAL,,ELEVENTH CIRCUIT,135,06/30/88,1988-06-30,1988
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,22,06/30/88,1988-06-30,1988
ALABAMA,ALABAMA MIDDLE,ALM,ELEVENTH CIRCUIT,10,06/30/88,1988-06-30,1988
ALABAMA,ALABAMA SOUTHERN,ALS,ELEVENTH CIRCUIT,8,06/30/88,1988-06-30,1988
FLORIDA,FLORIDA NORTHERN,FLN,ELEVENTH CIRCUIT,17,06/30/88,1988-06-30,1988
FLORIDA,FLORIDA MIDDLE,FLM,ELEVENTH CIRCUIT,6,06/30/88,1988-06-30,1988
FLORIDA,FLORIDA SOUTHERN,FLS,ELEVENTH CIRCUIT,1,06/30/88,1988-06-30,1988
GEORGIA,GEORGIA NORTHERN,GAN,ELEVENTH CIRCUIT,3,06/30/88,1988-06-30,1988
GEORGIA,GEORGIA MIDDLE,GAM,ELEVENTH CIRCUIT,55,06/30/88,1988-06-30,1988
GEORGIA,GEORGIA SOUTHERN,GAS,ELEVENTH CIRCUIT,13,06/30/88,1988-06-30,1988
,TOTAL,,TOTAL,4824,06/30/87,1987-06-30,1987
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,DC CIRCUIT,0,06/30/87,1987-06-30,1987
,TOTAL,,FIRST CIRCUIT,16,06/30/87,1987-06-30,1987
MAINE,MAINE,ME,FIRST CIRCUIT,8,06/30/87,1987-06-30,1987
MASSACHUSETTS,MASSACHUSETTS,MA,FIRST CIRCUIT,0,06/30/87,1987-06-30,1987
NEW HAMPSHIRE,NEW HAMPSHIRE,NH,FIRST CIRCUIT,0,06/30/87,1987-06-30,1987
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,0,06/30/87,1987-06-30,1987
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,8,06/30/87,1987-06-30,1987
,TOTAL,,SECOND CIRCUIT,42,06/30/87,1987-06-30,1987
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,1,06/30/87,1987-06-30,1987
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,16,06/30/87,1987-06-30,1987
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,0,06/30/87,1987-06-30,1987
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,4,06/30/87,1987-06-30,1987
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,21,06/30/87,1987-06-30,1987
VERMONT,VERMONT,VT,SECOND CIRCUIT,0,06/30/87,1987-06-30,1987
,TOTAL,,THIRD CIRCUIT,21,06/30/87,1987-06-30,1987
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,1,06/30/87,1987-06-30,1987
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,2,06/30/87,1987-06-30,1987
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,4,06/30/87,1987-06-30,1987
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,10,06/30/87,1987-06-30,1987
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,4,06/30/87,1987-06-30,1987
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,0,06/30/87,1987-06-30,1987
,TOTAL,,FOURTH CIRCUIT,216,06/30/87,1987-06-30,1987
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,4,06/30/87,1987-06-30,1987
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,139,06/30/87,1987-06-30,1987
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,11,06/30/87,1987-06-30,1987
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,11,06/30/87,1987-06-30,1987
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,23,06/30/87,1987-06-30,1987
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,16,06/30/87,1987-06-30,1987
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,7,06/30/87,1987-06-30,1987
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,5,06/30/87,1987-06-30,1987
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,0,06/30/87,1987-06-30,1987
,TOTAL,,FIFTH CIRCUIT,494,06/30/87,1987-06-30,1987
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,14,06/30/87,1987-06-30,1987
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,19,06/30/87,1987-06-30,1987
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,227,06/30/87,1987-06-30,1987
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,63,06/30/87,1987-06-30,1987
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,30,06/30/87,1987-06-30,1987
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,98,06/30/87,1987-06-30,1987
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,10,06/30/87,1987-06-30,1987
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,15,06/30/87,1987-06-30,1987
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,18,06/30/87,1987-06-30,1987
,TOTAL,,SIXTH CIRCUIT,525,06/30/87,1987-06-30,1987
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,33,06/30/87,1987-06-30,1987
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,102,06/30/87,1987-06-30,1987
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,54,06/30/87,1987-06-30,1987
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,68,06/30/87,1987-06-30,1987
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,57,06/30/87,1987-06-30,1987
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,97,06/30/87,1987-06-30,1987
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,29,06/30/87,1987-06-30,1987
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,17,06/30/87,1987-06-30,1987
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,68,06/30/87,1987-06-30,1987
,TOTAL,,SEVENTH CIRCUIT,528,06/30/87,1987-06-30,1987
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,27,06/30/87,1987-06-30,1987
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,139,06/30/87,1987-06-30,1987
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,54,06/30/87,1987-06-30,1987
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,86,06/30/87,1987-06-30,1987
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,93,06/30/87,1987-06-30,1987
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,27,06/30/87,1987-06-30,1987
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,102,06/30/87,1987-06-30,1987
,TOTAL,,EIGHTH CIRCUIT,1708,06/30/87,1987-06-30,1987
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,58,06/30/87,1987-06-30,1987
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,18,06/30/87,1987-06-30,1987
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,144,06/30/87,1987-06-30,1987
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,137,06/30/87,1987-06-30,1987
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,114,06/30/87,1987-06-30,1987
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,56,06/30/87,1987-06-30,1987
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,137,06/30/87,1987-06-30,1987
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,612,06/30/87,1987-06-30,1987
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,89,06/30/87,1987-06-30,1987
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,343,06/30/87,1987-06-30,1987
,TOTAL,,NINTH CIRCUIT,484,06/30/87,1987-06-30,1987
ALASKA,ALASKA,AK,NINTH CIRCUIT,0,06/30/87,1987-06-30,1987
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,9,06/30/87,1987-06-30,1987
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,9,06/30/87,1987-06-30,1987
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,103,06/30/87,1987-06-30,1987
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,9,06/30/87,1987-06-30,1987
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,2,06/30/87,1987-06-30,1987
HAWAII,HAWAII,HI,NINTH CIRCUIT,0,06/30/87,1987-06-30,1987
IDAHO,IDAHO,ID,NINTH CIRCUIT,153,06/30/87,1987-06-30,1987
MONTANA,MONTANA,MT,NINTH CIRCUIT,70,06/30/87,1987-06-30,1987
NEVADA,NEVADA,NV,NINTH CIRCUIT,7,06/30/87,1987-06-30,1987
OREGON,OREGON,OR,NINTH CIRCUIT,43,06/30/87,1987-06-30,1987
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,77,06/30/87,1987-06-30,1987
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,2,06/30/87,1987-06-30,1987
GUAM,GUAM,GUAM,NINTH CIRCUIT,0,06/30/87,1987-06-30,1987
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,0,06/30/87,1987-06-30,1987
,TOTAL,,TENTH CIRCUIT,521,06/30/87,1987-06-30,1987
COLORADO,COLORADO,CO,TENTH CIRCUIT,86,06/30/87,1987-06-30,1987
KANSAS,KANSAS,KS,TENTH CIRCUIT,185,06/30/87,1987-06-30,1987
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,41,06/30/87,1987-06-30,1987
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,10,06/30/87,1987-06-30,1987
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,27,06/30/87,1987-06-30,1987
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,90,06/30/87,1987-06-30,1987
UTAH,UTAH,UT,TENTH CIRCUIT,31,06/30/87,1987-06-30,1987
WYOMING,WYOMING,WY,TENTH CIRCUIT,51,06/30/87,1987-06-30,1987
,TOTAL,,ELEVENTH CIRCUIT,269,06/30/87,1987-06-30,1987
ALABAMA,ALABAMA NORTHERN,ALN,ELEVENTH CIRCUIT,40,06/30/87,1987-06-30,1987
