STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CHAP_12_full,QTR_ENDED,DATE,CHAP_12,impute,impute1
RHODE ISLAND,RHODE ISLAND,RI,FIRST CIRCUIT,0,03/31/97,1997-03-31,0,0,NA
PUERTO RICO,PUERTO RICO,PR,FIRST CIRCUIT,3,03/31/97,1997-03-31,1,1,NA
NA,TOTAL,NA,SECOND CIRCUIT,51,03/31/97,1997-03-31,10,10,NA
CONNECTICUT,CONNECTICUT,CT,SECOND CIRCUIT,2,03/31/97,1997-03-31,1,1,NA
NEW YORK,NEW YORK NORTHERN,NYN,SECOND CIRCUIT,35,03/31/97,1997-03-31,8,8,NA
NEW YORK,NEW YORK EASTERN,NYE,SECOND CIRCUIT,0,03/31/97,1997-03-31,0,0,NA
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,4,03/31/97,1997-03-31,0,0,NA
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,6,03/31/97,1997-03-31,1,1,NA
VERMONT,VERMONT,VT,SECOND CIRCUIT,4,03/31/97,1997-03-31,0,0,NA
NA,TOTAL,NA,THIRD CIRCUIT,28,03/31/97,1997-03-31,10,10,NA
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,3,03/31/97,1997-03-31,0,0,NA
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,2,03/31/97,1997-03-31,1,1,NA
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,10,03/31/97,1997-03-31,3,3,NA
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,4,03/31/97,1997-03-31,1,1,NA
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,9,03/31/97,1997-03-31,5,5,NA
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,0,03/31/97,1997-03-31,0,0,NA
NA,TOTAL,NA,FOURTH CIRCUIT,45,03/31/97,1997-03-31,11,11,NA
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,4,03/31/97,1997-03-31,0,0,NA
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,13,03/31/97,1997-03-31,5,5,NA
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,1,03/31/97,1997-03-31,0,0,NA
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,4,03/31/97,1997-03-31,1,1,NA
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,8,03/31/97,1997-03-31,2,2,NA
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,7,03/31/97,1997-03-31,0,0,NA
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,8,03/31/97,1997-03-31,3,3,NA
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,0,03/31/97,1997-03-31,0,0,NA
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,0,03/31/97,1997-03-31,0,0,NA
NA,TOTAL,NA,FIFTH CIRCUIT,197,03/31/97,1997-03-31,58,58,NA
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,3,03/31/97,1997-03-31,0,0,NA
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,0,03/31/97,1997-03-31,0,0,NA
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,66,03/31/97,1997-03-31,21,21,NA
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,17,03/31/97,1997-03-31,3,3,NA
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,4,03/31/97,1997-03-31,2,2,NA
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,53,03/31/97,1997-03-31,16,16,NA
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,25,03/31/97,1997-03-31,6,6,NA
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,11,03/31/97,1997-03-31,5,5,NA
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,18,03/31/97,1997-03-31,5,5,NA
NA,TOTAL,NA,SIXTH CIRCUIT,79,03/31/97,1997-03-31,13,13,NA
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,7,03/31/97,1997-03-31,0,0,NA
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,5,03/31/97,1997-03-31,0,0,NA
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,18,03/31/97,1997-03-31,5,5,NA
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,12,03/31/97,1997-03-31,5,5,NA
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,8,03/31/97,1997-03-31,0,0,NA
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,8,03/31/97,1997-03-31,1,1,NA
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,12,03/31/97,1997-03-31,1,1,NA
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,7,03/31/97,1997-03-31,0,0,NA
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,2,03/31/97,1997-03-31,1,1,NA
NA,TOTAL,NA,SEVENTH CIRCUIT,88,03/31/97,1997-03-31,23,23,NA
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,0,03/31/97,1997-03-31,0,0,NA
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,21,03/31/97,1997-03-31,6,6,NA
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,9,03/31/97,1997-03-31,1,1,NA
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,6,03/31/97,1997-03-31,4,4,NA
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,6,03/31/97,1997-03-31,3,3,NA
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,13,03/31/97,1997-03-31,3,3,NA
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,33,03/31/97,1997-03-31,6,6,NA
NA,TOTAL,NA,EIGHTH CIRCUIT,228,03/31/97,1997-03-31,58,58,NA
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,7,03/31/97,1997-03-31,3,3,NA
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,4,03/31/97,1997-03-31,0,0,NA
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,11,03/31/97,1997-03-31,3,3,NA
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,5,03/31/97,1997-03-31,2,2,NA
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,24,03/31/97,1997-03-31,5,5,NA
MISSOURI,MISSOURI EASTERN,MOE,EIGHTH CIRCUIT,2,03/31/97,1997-03-31,0,0,NA
MISSOURI,MISSOURI WESTERN,MOW,EIGHTH CIRCUIT,18,03/31/97,1997-03-31,5,5,NA
NEBRASKA,NEBRASKA,NE,EIGHTH CIRCUIT,59,03/31/97,1997-03-31,9,9,NA
NORTH DAKOTA,NORTH DAKOTA,ND,EIGHTH CIRCUIT,51,03/31/97,1997-03-31,15,15,NA
SOUTH DAKOTA,SOUTH DAKOTA,SD,EIGHTH CIRCUIT,47,03/31/97,1997-03-31,16,16,NA
NA,TOTAL,NA,NINTH CIRCUIT,129,03/31/97,1997-03-31,38,38,NA
ALASKA,ALASKA,AK,NINTH CIRCUIT,0,03/31/97,1997-03-31,0,0,NA
ARIZONA,ARIZONA,AZ,NINTH CIRCUIT,3,03/31/97,1997-03-31,1,1,NA
CALIFORNIA,CALIFORNIA NORTHERN,CAN,NINTH CIRCUIT,6,03/31/97,1997-03-31,0,0,NA
CALIFORNIA,CALIFORNIA EASTERN,CAE,NINTH CIRCUIT,40,03/31/97,1997-03-31,7,7,NA
CALIFORNIA,CALIFORNIA CENTRAL,CAC,NINTH CIRCUIT,7,03/31/97,1997-03-31,3,3,NA
CALIFORNIA,CALIFORNIA SOUTHERN,CAS,NINTH CIRCUIT,2,03/31/97,1997-03-31,1,1,NA
HAWAII,HAWAII,HI,NINTH CIRCUIT,0,03/31/97,1997-03-31,0,0,NA
IDAHO,IDAHO,ID,NINTH CIRCUIT,20,03/31/97,1997-03-31,10,10,NA
MONTANA,MONTANA,MT,NINTH CIRCUIT,22,03/31/97,1997-03-31,10,10,NA
NEVADA,NEVADA,NV,NINTH CIRCUIT,3,03/31/97,1997-03-31,0,0,NA
OREGON,OREGON,OR,NINTH CIRCUIT,9,03/31/97,1997-03-31,1,1,NA
WASHINGTON,WASHINGTON EASTERN,WAE,NINTH CIRCUIT,12,03/31/97,1997-03-31,3,3,NA
WASHINGTON,WASHINGTON WESTERN,WAW,NINTH CIRCUIT,5,03/31/97,1997-03-31,2,2,NA
GUAM,GUAM,GUAM,NINTH CIRCUIT,0,03/31/97,1997-03-31,0,0,NA
NORTHERN MARIANA ISLANDS,NORTHERN MARIANAS,NMI,NINTH CIRCUIT,0,03/31/97,1997-03-31,0,0,NA
NA,TOTAL,NA,TENTH CIRCUIT,124,03/31/97,1997-03-31,37,37,NA
COLORADO,COLORADO,CO,TENTH CIRCUIT,19,03/31/97,1997-03-31,8,8,NA
KANSAS,KANSAS,KS,TENTH CIRCUIT,32,03/31/97,1997-03-31,7,7,NA
NEW MEXICO,NEW MEXICO,NM,TENTH CIRCUIT,10,03/31/97,1997-03-31,2,2,NA
OKLAHOMA,OKLAHOMA NORTHERN,OKN,TENTH CIRCUIT,3,03/31/97,1997-03-31,0,0,NA
OKLAHOMA,OKLAHOMA EASTERN,OKE,TENTH CIRCUIT,13,03/31/97,1997-03-31,6,6,NA
OKLAHOMA,OKLAHOMA WESTERN,OKW,TENTH CIRCUIT,41,03/31/97,1997-03-31,13,13,NA
UTAH,UTAH,UT,TENTH CIRCUIT,4,03/31/97,1997-03-31,1,1,NA
WYOMING,WYOMING,WY,TENTH CIRCUIT,2,03/31/97,1997-03-31,0,0,NA
NA,TOTAL,NA,ELEVENTH CIRCUIT,74,03/31/97,1997-03-31,22,22,NA
