STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CHAP_12,QTR_ENDED,DATE
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,0,06/30/02,2002-06-30
,TOTAL,,FIFTH CIRCUIT,42,06/30/02,2002-06-30
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,1,06/30/02,2002-06-30
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,0,06/30/02,2002-06-30
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,15,06/30/02,2002-06-30
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,1,06/30/02,2002-06-30
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,3,06/30/02,2002-06-30
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,12,06/30/02,2002-06-30
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,1,06/30/02,2002-06-30
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,3,06/30/02,2002-06-30
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,6,06/30/02,2002-06-30
,TOTAL,,SIXTH CIRCUIT,7,06/30/02,2002-06-30
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,0,06/30/02,2002-06-30
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,1,06/30/02,2002-06-30
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,0,06/30/02,2002-06-30
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,1,06/30/02,2002-06-30
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,0,06/30/02,2002-06-30
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,3,06/30/02,2002-06-30
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,1,06/30/02,2002-06-30
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,0,06/30/02,2002-06-30
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,1,06/30/02,2002-06-30
,TOTAL,,SEVENTH CIRCUIT,50,06/30/02,2002-06-30
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,1,06/30/02,2002-06-30
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,20,06/30/02,2002-06-30
