STATE,DISTRICT,DISTRICT_NS,CIRCUIT,CHAP_12,QTR_ENDED,DATE
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,0,09/30/01,2001-09-30
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,2,09/30/01,2001-09-30
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,0,09/30/01,2001-09-30
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,1,09/30/01,2001-09-30
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,2,09/30/01,2001-09-30
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,0,09/30/01,2001-09-30
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,3,09/30/01,2001-09-30
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,0,09/30/01,2001-09-30
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,0,09/30/01,2001-09-30
,TOTAL,,FIFTH CIRCUIT,20,09/30/01,2001-09-30
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,1,09/30/01,2001-09-30
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,0,09/30/01,2001-09-30
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,5,09/30/01,2001-09-30
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,1,09/30/01,2001-09-30
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,1,09/30/01,2001-09-30
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,8,09/30/01,2001-09-30
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,1,09/30/01,2001-09-30
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,1,09/30/01,2001-09-30
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,2,09/30/01,2001-09-30
,TOTAL,,SIXTH CIRCUIT,4,09/30/01,2001-09-30
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,0,09/30/01,2001-09-30
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,1,09/30/01,2001-09-30
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,0,09/30/01,2001-09-30
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,1,09/30/01,2001-09-30
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,0,09/30/01,2001-09-30
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,1,09/30/01,2001-09-30
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,1,09/30/01,2001-09-30
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,0,09/30/01,2001-09-30
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,0,09/30/01,2001-09-30
,TOTAL,,SEVENTH CIRCUIT,18,09/30/01,2001-09-30
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,0,09/30/01,2001-09-30
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,6,09/30/01,2001-09-30
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,3,09/30/01,2001-09-30
INDIANA,INDIANA NORTHERN,INN,SEVENTH CIRCUIT,2,09/30/01,2001-09-30
INDIANA,INDIANA SOUTHERN,INS,SEVENTH CIRCUIT,1,09/30/01,2001-09-30
WISCONSIN,WISCONSIN EASTERN,WIE,SEVENTH CIRCUIT,1,09/30/01,2001-09-30
WISCONSIN,WISCONSIN WESTERN,WIW,SEVENTH CIRCUIT,5,09/30/01,2001-09-30
,TOTAL,,EIGHTH CIRCUIT,34,09/30/01,2001-09-30
ARKANSAS,ARKANSAS EASTERN,ARE,EIGHTH CIRCUIT,3,09/30/01,2001-09-30
ARKANSAS,ARKANSAS WESTERN,ARW,EIGHTH CIRCUIT,3,09/30/01,2001-09-30
IOWA,IOWA NORTHERN,IAN,EIGHTH CIRCUIT,2,09/30/01,2001-09-30
IOWA,IOWA SOUTHERN,IAS,EIGHTH CIRCUIT,1,09/30/01,2001-09-30
MINNESOTA,MINNESOTA,MN,EIGHTH CIRCUIT,4,09/30/01,2001-09-30
