STATE,DISTRICT,DISTRICT_NS,CIRCUIT,TOTAL_FILINGS,CHAP_7,CHAP_11,CHAP_12,CHAP_13,TOTAL_BUSINESS_FILINGS,BCHAP_7,BCHAP_11,BCHAP_12,BCHAP_13,TOTAL_NON_BUSINESS_FILINGS,NBCHAP_7,NBCHAP_11,NBCHAP_13,QTR_ENDED,DATE,FISCAL_YEAR
NEW YORK,NEW YORK SOUTHERN,NYS,SECOND CIRCUIT,16639,14465,437,1,1724,651,227,396,1,15,15988,14238,41,1709,09/30/98,1998-09-30,1998
NEW YORK,NEW YORK WESTERN,NYW,SECOND CIRCUIT,13322,9971,69,11,3271,740,485,64,11,180,12582,9486,5,3091,09/30/98,1998-09-30,1998
VERMONT,VERMONT,VT,SECOND CIRCUIT,1938,1760,15,12,151,101,58,15,12,16,1837,1702,0,135,09/30/98,1998-09-30,1998
DELAWARE,DELAWARE,DE,THIRD CIRCUIT,2841,1763,329,0,749,337,11,326,0,0,2504,1752,3,749,09/30/98,1998-09-30,1998
NEW JERSEY,NEW JERSEY,NJ,THIRD CIRCUIT,45347,31878,493,3,12972,916,490,412,3,10,44431,31388,81,12962,09/30/98,1998-09-30,1998
PENNSYLVANIA,PENNSYLVANIA EASTERN,PAE,THIRD CIRCUIT,22822,14393,175,6,8248,420,231,152,6,31,22402,14162,23,8217,09/30/98,1998-09-30,1998
PENNSYLVANIA,PENNSYLVANIA MIDDLE,PAM,THIRD CIRCUIT,10607,9036,71,8,1492,858,527,66,8,257,9749,8509,5,1235,09/30/98,1998-09-30,1998
PENNSYLVANIA,PENNSYLVANIA WESTERN,PAW,THIRD CIRCUIT,12496,11068,141,6,1281,467,308,118,6,35,12029,10760,23,1246,09/30/98,1998-09-30,1998
VIRGIN ISLANDS,VIRGIN ISLANDS,VI,THIRD CIRCUIT,71,59,3,0,9,10,7,3,0,0,61,52,0,9,09/30/98,1998-09-30,1998
MARYLAND,MARYLAND,MD,FOURTH CIRCUIT,35023,25639,227,5,9152,1398,925,209,5,259,33625,24714,18,8893,09/30/98,1998-09-30,1998
NORTH CAROLINA,NORTH CAROLINA EASTERN,NCE,FOURTH CIRCUIT,10593,4963,43,13,5574,362,162,43,13,144,10231,4801,0,5430,09/30/98,1998-09-30,1998
NORTH CAROLINA,NORTH CAROLINA MIDDLE,NCM,FOURTH CIRCUIT,9163,2863,28,2,6270,183,142,27,2,12,8980,2721,1,6258,09/30/98,1998-09-30,1998
NORTH CAROLINA,NORTH CAROLINA WESTERN,NCW,FOURTH CIRCUIT,7101,3238,37,1,3825,77,37,37,1,2,7024,3201,0,3823,09/30/98,1998-09-30,1998
SOUTH CAROLINA,SOUTH CAROLINA,SC,FOURTH CIRCUIT,11451,6158,59,11,5223,276,138,50,11,77,11175,6020,9,5146,09/30/98,1998-09-30,1998
VIRGINIA,VIRGINIA EASTERN,VAE,FOURTH CIRCUIT,32391,23794,205,4,8388,613,340,170,4,99,31778,23454,35,8289,09/30/98,1998-09-30,1998
VIRGINIA,VIRGINIA WESTERN,VAW,FOURTH CIRCUIT,11094,9172,54,4,1864,590,438,51,4,97,10504,8734,3,1767,09/30/98,1998-09-30,1998
WEST VIRGINIA,WEST VIRGINIA NORTHERN,WVN,FOURTH CIRCUIT,3586,3381,22,1,182,198,150,22,1,25,3388,3231,0,157,09/30/98,1998-09-30,1998
WEST VIRGINIA,WEST VIRGINIA SOUTHERN,WVS,FOURTH CIRCUIT,5238,4914,27,0,297,165,115,26,0,24,5073,4799,1,273,09/30/98,1998-09-30,1998
LOUISIANA,LOUISIANA EASTERN,LAE,FIFTH CIRCUIT,7069,4744,65,5,2255,135,71,56,5,3,6934,4673,9,2252,09/30/98,1998-09-30,1998
LOUISIANA,LOUISIANA MIDDLE,LAM,FIFTH CIRCUIT,2896,1982,23,0,891,47,25,20,0,2,2849,1957,3,889,09/30/98,1998-09-30,1998
LOUISIANA,LOUISIANA WESTERN,LAW,FIFTH CIRCUIT,13002,5798,43,23,7138,430,233,42,23,132,12572,5565,1,7006,09/30/98,1998-09-30,1998
MISSISSIPPI,MISSISSIPPI NORTHERN,MSN,FIFTH CIRCUIT,6342,3854,37,14,2437,148,72,37,14,25,6194,3782,0,2412,09/30/98,1998-09-30,1998
MISSISSIPPI,MISSISSIPPI SOUTHERN,MSS,FIFTH CIRCUIT,12576,7348,37,4,5187,139,98,32,4,5,12437,7250,5,5182,09/30/98,1998-09-30,1998
TEXAS,TEXAS NORTHERN,TXN,FIFTH CIRCUIT,25093,13106,220,49,11717,1293,665,206,49,372,23800,12441,14,11345,09/30/98,1998-09-30,1998
TEXAS,TEXAS EASTERN,TXE,FIFTH CIRCUIT,9872,4795,47,8,5022,379,174,43,8,154,9493,4621,4,4868,09/30/98,1998-09-30,1998
TEXAS,TEXAS SOUTHERN,TXS,FIFTH CIRCUIT,19260,11408,196,8,7648,667,315,170,8,174,18593,11093,26,7474,09/30/98,1998-09-30,1998
TEXAS,TEXAS WESTERN,TXW,FIFTH CIRCUIT,17795,10143,132,11,7509,518,296,121,11,90,17277,9847,11,7419,09/30/98,1998-09-30,1998
KENTUCKY,KENTUCKY EASTERN,KYE,SIXTH CIRCUIT,9627,8330,22,5,1270,210,147,21,5,37,9417,8183,1,1233,09/30/98,1998-09-30,1998
KENTUCKY,KENTUCKY WESTERN,KYW,SIXTH CIRCUIT,12655,10132,44,12,2467,178,97,44,12,25,12477,10035,0,2442,09/30/98,1998-09-30,1998
MICHIGAN,MICHIGAN EASTERN,MIE,SIXTH CIRCUIT,28628,21310,143,8,7167,391,221,137,8,25,28237,21089,6,7142,09/30/98,1998-09-30,1998
MICHIGAN,MICHIGAN WESTERN,MIW,SIXTH CIRCUIT,12615,9542,55,16,3002,404,252,50,16,86,12211,9290,5,2916,09/30/98,1998-09-30,1998
OHIO,OHIO NORTHERN,OHN,SIXTH CIRCUIT,27677,22780,56,9,4832,558,392,55,9,102,27119,22388,1,4730,09/30/98,1998-09-30,1998
OHIO,OHIO SOUTHERN,OHS,SIXTH CIRCUIT,28325,21413,80,11,6821,488,313,73,11,91,27837,21100,7,6730,09/30/98,1998-09-30,1998
TENNESSEE,TENNESSEE EASTERN,TNE,SIXTH CIRCUIT,16122,8611,44,9,7458,377,175,44,9,149,15745,8436,0,7309,09/30/98,1998-09-30,1998
TENNESSEE,TENNESSEE MIDDLE,TNM,SIXTH CIRCUIT,12437,6860,110,11,5456,333,161,90,11,71,12104,6699,20,5385,09/30/98,1998-09-30,1998
TENNESSEE,TENNESSEE WESTERN,TNW,SIXTH CIRCUIT,23477,6173,49,4,17251,226,109,43,4,70,23251,6064,6,17181,09/30/98,1998-09-30,1998
ILLINOIS,ILLINOIS NORTHERN,ILN,SEVENTH CIRCUIT,45170,32886,225,3,12056,730,485,217,3,25,44440,32401,8,12031,09/30/98,1998-09-30,1998
ILLINOIS,ILLINOIS CENTRAL,ILC,SEVENTH CIRCUIT,12766,11076,33,21,1636,132,72,32,21,7,12634,11004,1,1629,09/30/98,1998-09-30,1998
ILLINOIS,ILLINOIS SOUTHERN,ILS,SEVENTH CIRCUIT,7401,5666,23,6,1706,699,507,23,6,163,6702,5159,0,1543,09/30/98,1998-09-30,1998
